,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
3014,fitness,6uobyj7q8C3jR2ssk34Gea,0.781,0.871,10,-3.421,0,0.0475,0.00246,0.00267,0.94,127.985
3015,fitness,2pbLzrByOZPibnYwSXLplI,0.732,0.912,11,-4.144,1,0.0602,0.189,0,0.893,128.006
3016,fitness,6AGW2k7Ec6S5bTtSRNN3fa,0.681,0.903,9,-4.197,0,0.0466,0.104,0.00014,0.458,99.968
3017,fitness,7qwULjvTujatIaoWC1lu8b,0.909,0.755,10,-2.59,0,0.236,0.042,0.00121,0.638,120.948
3018,fitness,3Zl7jr0gNjSio9IV3AnHN8,0.651,0.887,7,-4.371,0,0.0304,0.00346,2.19e-05,0.889,130.046
3019,fitness,6RbTNfwm7eDQPU2DD8i94t,0.687,0.907,4,-5.005,0,0.178,0.105,0,0.606,128.877
3020,fitness,4kre9dGsyU8QOjNmYb18yV,0.837,0.929,8,-2.515,0,0.292,0.0198,0,0.698,127.918
3021,fitness,1tOO5aFeOYGdnJTbKFS7Nj,0.731,0.839,2,-6.232,1,0.165,0.456,0,0.957,100.063
3022,fitness,6HPttFSgLaT8sysl9k60FD,0.791,0.923,11,-3.327,0,0.0396,0.0105,0.000674,0.634,127.972
3023,fitness,6MUoyXdfMvaLjatOTJd6xR,0.723,0.918,5,-2.715,0,0.0364,0.0235,0.000201,0.785,125.981
3024,fitness,5OPrQhuX6OP06gGtYS1S0f,0.872,0.816,2,-3.583,1,0.107,0.0239,0.0273,0.546,104.982
3025,fitness,1KRTwdrCb7mSxjDxTtDSiu,0.815,0.969,1,-2.719,1,0.0381,0.00925,0.00431,0.746,127.979
3026,fitness,45CAVRq32QMqIcKzVbpcaw,0.798,0.932,7,-5.333,1,0.048,0.0174,6.94e-05,0.425,110.024
3027,fitness,722tgOgdIbNe3BEyLnejw4,0.766,0.809,1,-6.123,1,0.279,0.0011,0,0.325,130.127
3028,fitness,7Ct3wqpGLbNrrG617S00B3,0.654,0.751,8,-7.508,0,0.105,0.244,0.0179,0.568,92.774
3029,fitness,0nLcWJB4ir9430ulKxZZhV,0.755,0.631,7,-4.751,0,0.302,0.552,0,0.433,94.571
3030,fitness,4HKGV55ULdn3RLaKLsc2Ju,0.593,0.572,10,-4.52,1,0.0389,0.0408,4.32e-06,0.0518,96.066
3031,fitness,1S8JnwFW9oFGH5uK3YeO4P,0.493,0.922,5,-1.621,1,0.303,0.225,0,0.694,94.679
3032,fitness,2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.576,153.993
3033,fitness,1ZHYJ2Wwgxes4m8Ba88PeK,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.0963,124.887
3034,fitness,7tsgm8M8uO6W1HmBAmHFGv,0.586,0.563,8,-8.284,1,0.0644,0.235,0.0549,0.544,146.101
3035,fitness,2UNedS0c7DmhV7q6CnwcmT,0.755,0.532,1,-7.615,0,0.0319,0.0576,0.457,0.117,119.567
3036,fitness,6C7RJEIUDqKkJRZVWdkfkH,0.625,0.726,10,-7.731,0,0.155,0.00728,0,0.483,103.98
3037,fitness,2dxjKgT0li4qBI3QwuN9Ih,0.552,0.846,9,-4.912,1,0.342,0.0114,0,0.554,98.56
3038,fitness,62r62ArmWq38cu6QCVgyTc,0.427,0.844,3,-4.597,0,0.427,0.578,0,0.716,85.346
3039,fitness,0fDf7lTJ6A6uzGWUEJHcCq,0.702,0.774,2,-4.682,1,0.208,0.00925,0,0.624,117.993
3040,fitness,4qikXelSRKvoCqFcHLB2H2,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.426,139.993
3041,fitness,0ua0Go4NN4Td7l0Zre6Ce3,0.634,0.649,6,-7.505,0,0.0486,0.0315,0,0.509,90.482
3042,fitness,2pPO9YecZimmuVQfIzfV6U,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.54,121.955
3043,fitness,0siYMEsGrzzzlWLXK5zJfS,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.618,123.989
3044,fitness,3AzjcOeAmA57TIOr9zF1ZW,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.746,146.967
3045,fitness,6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.905,122.953
3046,fitness,63bWXWGcWnRQvdS8bJWdkB,0.636,0.822,0,-4.321,0,0.0507,0.0534,1.99e-05,0.338,127.225
